Produit,NoteP,NoteC,Pays,Commentaire
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,SUPER PRODUIT Concernant l’installation : Sur mon PC portable Windows 10 en tout premier dans le gestionnaire de périphérique j’ai désactivé la carte Wifi Intel existante. Puis j’ai connectée la clef Wifi 6 de BrosTrend sur la rallonge câble USB 3 (male/Femelle) de 0 50 m référence Amazon fabricant Paxo . Cela permet de ne pas obturer le second port Usb 3 de mon portable.( Voir Photo) Installation immédiate du pilote de la clef  puis redémarrage du Pc suivi de tests (voir plus loin) Concernant les tests : Je possède 2 Freebox révolution norme R2 de Free ( 1 à Lyon  1 à Paris ) et ce sans routeur ni répétiteur. Freebox de Lyon en Fibre : Cette dernière de 2013 n’a qu’une seule carte réseau 2 4Ghz en 802.11.G Pour information la technologie Wifi G a été créé en 2003 !! ) Pas de carte réseau 5Ghz !! J’ai dû composer avec une seule carte. Résultats : Test avec la carte réseau de mon Pc Portable : Latence 27 ms/ Téléchargement 28 6 ms/ 73 2 en transfert Avec la Clef Wifi 6 de BrosTrend et le câble connecté en Usb3 Latence 28 ms/ Téléchargement 77 ms/ 86 8 en transfert. Je me vois malgré ce résultat du double de vitesse avec une seule carte demander à Free le Changement de ma box avec 2 cartes 2 4Ghz en 802.11.n et en 5Ghz 802.11.ac Freebox de Paris : Concernant cette dernière elle possède bien 2 cartes 2 4Ghz en 802.11.n et en 5Ghz 802.11.ac soit un contexte idéal pour réaliser les tests . Résultats : Test avec la carte intel du PC ; Latence 27 ms/ Téléchargement 28 ms/ 44 10 en transfert Avec la Clef Wifi 6 de BrosTrend et le câble connecté en Usb3 en 5Ghz Latence 4 ms/ Téléchargement 338 24 ms/ 276 60 en transfert. !!! Je peux avouer que cette clef wifi 6 est un excellent produit à conseiller Ci-joint les photos
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,Je suis amplement satisfait pour le prix de cette clé que j’ai obtenu en promotion  ne possédant pas de carte wifi sur mon PC j’ai acheté cette clé pour pouvoir bénéficier du Wifi  et ça marche super bien aussi bien qu’avec mon ancien câble donc je recommande vivement ce produit pour toutes les personnes dans le même cas que moi. De plus tout est expliqué dans la notice pour installer le driver qui est déjà contenu dans la memoir de la clé wifi c’est quasiment du plug and play donc super simple d’utilisation. bref 5 étoiles amplement méritées pour ce produit qui a su me satisfaire à sa juste valeur.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,Une fois branchée  installation automatique
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,Pour remplacer mes prises CPL qui ne fonctionnaient plus. Le résultat est bluffant.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,Bon produit concernant la technologie WiFi !
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,Je suis passé du wifi5 au wifi6 ... excellent débit
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,Très bien
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,Installée sur un PC portable pour bénéficier du WiFi 6 de la Livebox Orange.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,Conforme à la decription
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,5,France,J’avais acheté une carte mère sur Amazon la asus tuf pro wifi II X-570 dont la carte wifi était malheureusement hors usage  j’ai dû acheter cette clé afin d’avoir le wifi.
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,1,France,J'ai reçu une wifi 6  cette clé était toute destinée à s'y adapter sur mon pc fixe. Sauf qu'une fois installé  déconnexion <=> reconnexion sans cesse.. J'ai essayé de regarder au niveau de mes périphériques  impossible de trouver le problème. Je dois être l'un des rares à avoir des soucis avec la clé  peut-être un défaut de conception ou juste de la malchance. Toujours est il que ce n'est PAS FIABLE à 100%. Heureusement on peut se faire rembourser
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,1,France,40 balles à la poubelle
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,2,France,Après avoir testé cette clé quelques  j'ai du repasser à mon ancienne clé wifi pour un besoin ponctuel de fiabilité du signal. Avec ce model je rencontre parfois des micro coupures  dans la vaste majorité des cas c'est passable mais à des moments ou je compte sur une qualité de signal parfaite  cette clé fait défaut (1 micro coupure en un après-midi)  chose que je n'ai JAMAIS avec mon ancienne clé wifi 802.11AC. Dommage je voulais bénéficier de la wifi 6E ... Concernant le débit  le gain est minime  au final je suis déçu.
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,2,Italie,Installata  in modo semplice  praticamente si autoinstalla  ha funzionato subito indicando max download a 33-37 Mbs quando con tutti gli altri dispositivi viaggio tra i 350 ed i 900 Mbs. Ho appena messo la fibra. Ho provato di tutto  aggiornare drivers  seguire consigli da forum di esperti ma nulla  la rete Wi-Fi è vista come WI F I 6  quindi lAdattore funzione ma navigo esattamente come la vecchia scheda interna  che ho provveduto a disabilitare anche se non Cambiava nulla.peraltro forse cambiando drivers ma alla fine era diventata pure instabile. Quind forse funzionerà anche bene come molti sostengono ma dopo tre giorni di tentativi mi sono arreso e L ho rinviata al mittente
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,3,Royaume-Uni,It will probably be okay if your computer has a USB 3 port.
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,4,France,Très facile à installer. Aucun soucis pour l’instant.
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,4,Italie,ottimo acquisto
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,5,France,Encombrante : 8 cm x 3 x 1 et bombée  elle ne rentre pas dans toutes les prises à l'arrière du PC de bureau en fonction de leur emplacement  il vous faudra peut-être acheter un câble M/F. J'ai dû la mettre en façade et cela me prive d''une prise bien commode... Quant au rapport qualité-prix je ne sais pas car c'est la première fois que j'achète un clé Wifi.
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,5,France,Super merci beaucoup
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,5,Espagne,Muy fácil de configurar  solo conectar y ejecutar el driver que trae incorporado y listo. Lo compre porque mi pc ya tiene unos años y la tarjeta de red me da problemas con el wiffi la cual funciona cuando quiere. Me tenía que conectar vía cable eternet al router lo cual me inpedia mover el pc por otros lugares de la casa  lo cual es un engorro. Solo tienes que conectarlo a un puerto usb de el pc y ya tienes el wiffi funcionando y moverte con total libertad por la casa. Es aconsejable que el puerto usb sea 3.0  en mi caso mi pc los puertos que tiene son 2.0 lo cual no es ningún inconveniente para que funcione el wiffi fluido  sin ningún corte. Muy contento lo volvería a comprar.
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,5,Italie,Facile
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,5,Italie,Ero titubante ma dopo provato sodisfattissimo ottimo prodotto
ioGiant AX1800 Mbps Clé USB WiFi 6 Puissante  Dongle WiFi 6  Clé WiFi...,4.2,5,Royaume-Uni,As expected
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,Mémoire SSD NVMe en panne après 5 mois d'utilisation. Impossible de récupérer la moindre données sur le disque. Double peine: le retour se fait au frais du client en république Tchèque. Comptez 15 euros de frais.
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,Essayer sur 2 assus portable récent fin 2022 et début 2023 aussi bien en externe qu'en interne  Nadal reconnu dans bios mais impossible à initialiser sur Windows 10 ou 11 testé les 2 systèmes   reconnu sous Linux mais apparaît comme verrouillé.
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,La boite a du se faire rouler dessus par un chariot dans l'entrepôt. Elle est broyée. Le disque est incurvé. L'enveloppe est impeccable. Donc ça n'est pas lors de la livraison qu'il y a eu le pb
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,Impossible de faire démarrer le pc avec ce ssd j'ai essayé tout les réglages possible ainsi que modifier les connections des autres disques il n'y rien a faire.Donc je ne sais pas si c'est le ssd qui est en panne ou si c'est ma carte qui n'en veut pas .
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,Peu satisfait car le benchmark est loin des performances annoncées  lecture à 1426MB/s au réel et 406MB/s sur une MB ASUS TUF Z390 gaming plus  port en M2 gen3x4 avec compatibilité fabricant mais mon ssd 850EVO en SATA6 fait amplement mieux à coté du NVMe Crucial donc très déçu au final :(
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,please dont buy this ssd  very bad copy speed  its not even copy speed like hdd 
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,Quand je connecte le disque via USB j'ai l'erreur : L’opération d’E/S à l’adresse de bloc logique 0x0 pour le disque 1 (nom d’objet périphérique physique : \Device\000000c7) a échoué en raison d’une erreur matérielle.
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,Retourné car ne correspondant pas à mon PC
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,Livraison rapide  malheureusement message système sur deux ordis avec Windows 10  matériel détecté endommagé  impossible créer une partition  retour demandé.
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,1,France,produit arriver HS
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,2,France,* 2 Crucial SSD (P3 et P3 Plus) non fonctionnels sur 2 PC différents (Windows 10 et 11) Toujours la même erreur : - Initialiser le disque - Gestionnaire de disque virtuel - Erreur : Échec de la requête en raison d'une grave erreur matérielle de l'appareil. Disque 2 Inconnu  * Support Crucial RMA sous garantie : Prix de l'envoi (Assurance  preuve d'envoi  référence de suivi) en République tchèque environ 25 € ! De ce fait  j'ai annulé le remplacement du SSD sous garantie  fait le retour sur Amazon.
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,2,France,Cramé au bout de 4 mois et crucial ne prenne pas en garantie si vous le commander pas sur leur site malgré tout bon prix j’ai peu être pas eu de chance
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,2,France,Ssd déjà hs au bout d'un mois.. je ne recommande pas du coup. Je me dirige du coup chez Samsung qui font beaucoup mieux.
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,2,Allemagne,Anfänglich hat alles Super funktioniert die mit zur Verfügung gestellte Klon Software wurde zum erstellen des Systems auf der M2.SSD verwendet was auch erst einwandfrei funktionierte. Ca.1 Monat später habe ich die Zusätzlich eingebaute Sata SSD durch eine Größere HDD ersetzt und da begannen die Probleme. Die M.2 SSD hat zwar gebootet aber nur bis zur Fehler/Recovery Aufforderung und ab da war nichts mehr zu machen ich habe etliche Stunden versucht per Win Recovery alles wieder herzustellen was nicht funktionierte. Daraufhin habe ich das System neu aufgesetzt mit selbigem Ergebnis. Dann habe ich das Laptop von einer anderen Festplatte gebootet was hervorragend funktionierte und habe dann versucht erneut die M.2 SSD mit Windows zu versehen wohlgemerkt mit dem von Crucial zur Verfügung gestellten Tool. Daraufhin ergab sich ein wunderbarer Bootloop wenn man versucht hat von der M.2 SSD zu Booten. Also wurde wieder alles auf Null gesetzt und das ganze Spielchen begann erfolglos von vorne. Irgendwann ging die Platte wieder in den Reparatur Modus von Windows  dies war immerhin ein kleiner Fortschritt oder Rückschritt denn das Problem war ja schon einmal vorhanden. Das ganze war besonders spaßig da mein Laptop keine Wartungsklappe für sowas hat also hieß es jedesmal Laptop öffnen Platte rein andere Platte raus  Laptop verschließen Bootfahigkeit testen und das jedesmal da man das Laptop auch nicht einfach geöffnet lassen kann. Ich habe in meinem Leben noch nie solche Probleme mit einer Festplatte gehabt und schließlich aufgegebenen es weiter zu Versuchen. Soviel Stress und Frustration sollte es nicht erzeugen ein Windows System neu auf zu setzen. Einen bootfähigen USB Stick mit Linux hatte ich leider nicht zu Hand sonst hätte ich es alternativ damit versucht um zu testen ob die M2.SSD überhaupt noch vernünftig funktionsfähig ist.  Zu dem ganzen Spaß bin ich Tagelang nichtmehr an etliche Konten heran gekommen wie Mail etc. da das Laptop mein System für solche Arbeiten war.  Zum Glück habe ich vorhin eine Sata SSD gefunden die als Backup diente.  Und die ursprüngliche Platte von der das Sys geklont wurde war noch im Windows "Rohzustand" daher war dort kein Daten Backup gespeichert. Mein Fazit : Ich werde definitiv keine Crucial M.2 SSD mehr bestellen.  Von der Crucial M.2 SSD werde ich nach den ganzen versuchen die wieder her zu Stellen bzw. erneut aufzusetzen wohl keinerlei Daten mehr retten können. Der Amazon Support war zum Glück sehr Hilfsbereit und hat eine Warenrücksendung veranlasst. Ich hoffe sehr das keine meiner Daten auf der M.2 SSD zurückgeblieben sind  was eigentlich garnicht möglich sein sollte. Aber man weiß ja nie.😑
Crucial P3 1To M.2 PCIe Gen3 NVMe SSD interne - Jusqu’à 3500Mo/s -...,4.7,2,Allemagne,Warum wurde die Crucial P3 4TB gekauft? >> Daten von einer NAS über USB3.2 auf eine externe Festplatte sichern.  Istzustand: >> Daten werden derzeit über USB3.2 von der NAS auf WD Elements 8TB gespeichert. >> Übertragungsrate ist dauerhaft bei etwa 180MB/s  Ziele: Ziel 1. Die Daten mindestens so schnell sichern (schreiben) wie bisher mit der WD Elements 8TB. Schneller ist nicht zu erwarten  weil in der NAS auch mechanische Platten verbaut sind. Aber es darf nicht langsamer sein!! Ziel 2. Die Daten schneller lesen als bisher - damit eine Rücksicherung schneller erfolgen kann. Wenn einer der beiden Ziele nicht erreicht wird  muss eine andere Festplatte her.  Vorbereitung: - Einbau der Crucial SSD in ein aktuelles  schnelles USB-Gehäuse. - Anschluss an eine Datensicherungs-NAS mit USB 3.2-Anschluss.  Welche Daten werden gesichert? - 1x Datei 2TB - mehrere Dateien 15GB-70GB  Ablauf: 1. Kopie der 2TB-Datei: Anfangs hohe Übertragungsraten bis 400MB/s (angezeigt in der NAS) in der Spitze und dann etwa 270MB/s. Die ersten hundert oder mehr GB schien die Datenübertragung hoch. Doch dann ein Einbruch auf 90MB/s. Längere Zeit! Dann wieder kurze Zeit 270MB/s. Dann wieder 90MB/s...  Ergebnis: Die Übertragung der 2TB-Datei hat am Ende 3Stunden gedauert und somit exakt genauso lange wie die Übertragung auf eine deutlich günstigere mechanische HDD! Ziel 1 wurde wurde somit gerade so erreicht.  Zwar ist die Festplatte - gerade anfangs - schneller  allerdings macht sich der Geschwindigkeitseinbrauch auf nur 90MB/s (hardwareLUXX hat genauer gemessen: 88MB/s) auf Dauer bemerkbar.  Noch schlimmer wird es  wenn die Hälfte der 4TB-Platte beschrieben wurde! Dann nimmt die Durchschnitsübertragungsgeschwindigkeit dramatisch ab! Ich denke das haben die meisten Tester die hier positiv bewerten nicht berücksichtigt: Die durchschnittliche Übertragungsgeschwindigkeit sinkt bei vollerer SSD deutlich.  Nach Beschreiben der SSD mit 2TB geht die Übertragung beim Kopieren nach 90MB/s nur kurz auf etwa 270MB/s um dann längere Zeit auf 90MB/s zu sinken. Dann wieder kurz auf 270MB/s und länger Zeit auf 90MB/s. Die Intervalle in denen mit 90MB/s geschrieben wird   werden länger! Die mit 270MB/s nur noch 2-5 Sekunden.  Die mechanische Festplatte mit dauerhaft 180MB/s ist da ganz klar im Vorteil! Mit 66% Füllung ist die Crucial bei Schreiben großer Dateien nur noch halb so schnell wie meine Western Digital HDDs. Und letztere sind deutlich günstiger und können öfter überschrieben werden. Ja  auch die Geschwindigkeit bei mechanischen Festplatten nimmt ab  wenn diese zu einem großen Teil beschrieben sind. Allerdings nicht so dramatisch. Eine Fast volle WD mit 8TB hat bei mir an der NAS immer noch eine Übertragungsgeschwindigkeit (bei Dateigrößen > 10GB) von mehr als 130MB/s. Bei 6TB Füllung rennt die noch mit 180MB/s.  Das liegt an der veralteten und billigen QLC-Technik!  Im Internet findet ihr bei hardwareluxx einen Ausführlichen Artikel zur Crucial P3.  Was wurde bewertet? Meine Bewertung zielt auf häufiges Schreiben von großen Dateien (Datensicherungen  Videos...). Das sequentielle Lesen sollte bei dieser Platte schnell sein  ist hier aber für mich nicht ausschlaggebend. Jene denen das wichtig ist  werden diesen Speicher sicher positiver bewerten. Ich hoffte die maximale Bandbreite von USB3.2 dauerhaft bei großen Dateien nutzen zu können. Das geht mit dieser Crucial SSD nicht.
